name,latitude,elevation,location,last_updated
Hubli Airport,15.36170006,2171,Hubli,2013-04-27T10:17:55+00:00
Keshod Airport,21.31710052,167,Unknown,2008-06-13T14:30:04+00:00
Kangra Airport,32.1651001,2525,Unknown,2008-06-13T14:30:04+00:00
Shimla Airport,31.0818,5072,Unknown,2016-05-31T09:39:17+00:00
Bidar Air Force Station,17.90810013,2178,Unknown,2008-06-13T14:30:04+00:00
Agatti Airport,10.82369995,14,Unknown,2008-06-13T14:30:04+00:00
Rourkela Airport,22.256701,659,Unknown,2018-04-30T11:09:09+00:00
Bhatinda Air Force Station,30.27009964,662,Unknown,2008-06-13T14:30:04+00:00
Agra Airport,27.15579987,551,Unknown,2008-06-13T14:30:04+00:00
Bellary Airport,15.16279984,30,Bellary,2008-06-13T14:30:04+00:00
Dundigul Air Force Academy,17.62719917,2013,Hyderabad,2016-01-12T23:29:15+00:00
Sonari Airport,22.8132,475,Jamshedpur,2018-04-30T11:57:37+00:00
Kota Airport,25.16020012,896,Kota,2015-02-11T00:03:59+00:00
Pathankot Airport,32.233611,1017,Pathankot,2018-04-30T11:07:48+00:00
Pondicherry Airport,11.968,134,Pondicherry,2018-04-30T10:09:06+00:00
Willingdon Island Air Base,9.947389603,8,Kochi,2008-06-13T14:30:04+00:00
Nagarjuna Sagar Airport,16.54269981,658,Unknown,2008-06-13T14:30:04+00:00
Bokaro Airport,23.64349937,715,Unknown,2008-06-13T14:30:04+00:00
Bhilai Airport,21.2942009,1014,Unknown,2009-01-30T17:05:03+00:00
Raedhanpur Airport,23.22229958,135,Unknown,2008-06-13T14:30:04+00:00
Bhiwani Airport,28.83699989,720,Unknown,2008-06-13T14:30:04+00:00
Nuagaon Airport,20.51169968,656,Unknown,2008-06-13T14:30:04+00:00
Patiala Airport,30.31480026,820,Unknown,2008-06-13T14:30:04+00:00
Uttarlai Airport,25.81299973,500,Unknown,2008-06-13T14:30:04+00:00
Hakimpet Airport,17.55349922,2020,Unknown,2016-01-12T23:30:43+00:00
Fursatganj Airport,26.24850082,360,Unknown,2008-06-13T14:30:04+00:00
Kanpur Airport,26.404301,410,Kanpur,2018-04-30T10:45:49+00:00
"Rewa Airport, Chorhata, REWA",24.503401,1000,Rewa,2017-04-08T07:16:33+00:00
Coimbatore Air Force Station,11.01360035,1250,Sulur,2008-06-13T14:30:04+00:00
